"rent","size"
635,92
1266.05,105
337.5,42
399.61,79
359.02,65
390.57,33
279.53,51
908.72,120
713.27,87
966.36,89
590.54,61
652.49,74
637.82,81
494.53,87
741.38,60
623.65,85
690.26,79
1661.55,150
583.32,63
570.1,58
874.32,78
1452.93,125
270.71,58
305.45,62
337.35,32
290.42,28
541.39,103
723.59,115
797.51,77
715.82,79
1022.68,105
559.54,59
479.41,70
327.52,32
410.57,33
393.37,61
229.06,40
342.57,64
560.58,61
364.3,47
484.01,57
464.56,45
270.07,64
561.35,80
520.49,107
387.24,61
328.39,48
657.68,65
815.71,75
319.21,69
460.17,68
603.34,62
286,36
989.17,85
655.48,78
345.75,69
609.58,70
782.19,61
355.36,42
644.34,82
243.44,62
392.18,51
568.93,64
535.92,70
254.75,24
1003.38,102
415.57,57
713.26,85
661.5,90
352.68,49
1385.12,128
738.8,70
306.61,24
582.37,62
920.33,125
224.55,57
524.09,59
487.77,72
501.96,86
640.83,74
548.79,55
523.33,67
177.36,56
564.02,78
714.27,90
377.59,76
468.92,64
686.32,85
280.7,48
504.4,86
364.18,72
345.79,34
193.38,66
193.18,102
883.53,100
362.13,34
306.4,31
771.5,70
490.85,40
580.32,55
200,180
100,180
