"bodyfat","age","weight","height","neck","chest","abdomen","hip","thigh","knee","ankle","biceps","forearm","wrist"
0.123,0.23,1.5425,0.6775,0.362,0.931,0.852,0.945,0.59,0.373,0.219,0.32,0.274,0.171
0.061,0.22,1.7325,0.7225,0.385,0.936,0.83,0.987,0.587,0.373,0.234,0.305,0.289,0.182
0.253,0.22,1.54,0.6625,0.34,0.958,0.879,0.992,0.596,0.389,0.24,0.288,0.252,0.166
0.104,0.26,1.8475,0.7225,0.374,1.018,0.864,1.012,0.601,0.373,0.228,0.324,0.294,0.182
0.287,0.24,1.8425,0.7125,0.344,0.973,1,1.019,0.632,0.422,0.24,0.322,0.277,0.177
0.209,0.24,2.1025,0.7475,0.39,1.045,0.944,1.078,0.66,0.42,0.256,0.357,0.306,0.188
0.192,0.26,1.81,0.6975,0.364,1.051,0.907,1.003,0.584,0.383,0.229,0.319,0.278,0.177
0.124,0.25,1.76,0.725,0.378,0.996,0.885,0.971,0.6,0.394,0.232,0.305,0.29,0.188
0.041,0.25,1.91,0.74,0.381,1.009,0.825,0.999,0.629,0.383,0.238,0.359,0.311,0.182
0.117,0.23,1.9825,0.735,0.421,0.996,0.886,1.041,0.631,0.417,0.25,0.356,0.3,0.192
0.071,0.26,1.8625,0.745,0.385,1.015,0.836,0.982,0.597,0.397,0.252,0.328,0.294,0.185
0.078,0.27,2.16,0.76,0.394,1.036,0.909,1.077,0.662,0.392,0.259,0.372,0.302,0.19
0.208,0.32,1.805,0.695,0.384,1.02,0.916,1.039,0.634,0.383,0.215,0.325,0.286,0.177
0.212,0.3,2.0525,0.7125,0.394,1.041,1.018,1.086,0.66,0.415,0.237,0.369,0.316,0.188
0.221,0.35,1.8775,0.695,0.405,1.013,0.964,1.001,0.69,0.39,0.231,0.361,0.305,0.182
0.209,0.35,1.6275,0.66,0.364,0.991,0.928,0.992,0.631,0.387,0.217,0.311,0.264,0.169
0.29,0.34,1.9575,0.71,0.389,1.019,0.964,1.052,0.648,0.408,0.231,0.362,0.308,0.173
0.229,0.32,2.0925,0.71,0.421,1.076,0.975,1.07,0.669,0.4,0.244,0.382,0.316,0.193
0.16,0.28,1.8375,0.6775,0.38,1.068,0.896,1.024,0.642,0.387,0.229,0.372,0.305,0.185
0.165,0.33,2.1175,0.735,0.4,1.062,1.005,1.09,0.658,0.406,0.24,0.371,0.301,0.182
0.191,0.28,1.79,0.68,0.391,1.033,0.959,1.049,0.635,0.38,0.221,0.325,0.303,0.184
0.152,0.28,2.005,0.6975,0.413,1.114,0.988,1.048,0.634,0.406,0.246,0.33,0.328,0.199
0.156,0.31,1.4025,0.6825,0.339,0.86,0.764,0.946,0.574,0.353,0.222,0.279,0.259,0.167
0.177,0.32,1.4875,0.7,0.355,0.867,0.8,0.934,0.549,0.362,0.221,0.298,0.267,0.171
0.14,0.28,1.5125,0.6775,0.345,0.902,0.763,0.958,0.584,0.355,0.229,0.311,0.28,0.176
0.037,0.27,1.5925,0.715,0.357,0.896,0.797,0.965,0.55,0.367,0.225,0.299,0.282,0.177
0.079,0.34,1.315,0.675,0.362,0.886,0.746,0.853,0.517,0.347,0.214,0.287,0.27,0.165
0.229,0.31,1.48,0.675,0.388,0.974,0.887,0.947,0.575,0.36,0.21,0.292,0.266,0.17
0.037,0.27,1.3325,0.6475,0.364,0.935,0.739,0.885,0.501,0.345,0.213,0.305,0.279,0.172
0.088,0.29,1.6075,0.69,0.367,0.974,0.835,0.987,0.589,0.353,0.226,0.301,0.267,0.176
